
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Episode: 177/1000 | Episode reward:   -27.87 | Episode steps: 1001 | Average reward:   -45.65 | Step Count: 177177 | Episode Q0:    -2.43
Episode: 178/1000 | Episode reward:   -17.37 | Episode steps: 1001 | Average reward:   -43.62 | Step Count: 178178 | Episode Q0:    -2.44
Episode: 179/1000 | Episode reward:   -13.86 | Episode steps: 1001 | Average reward:   -38.75 | Step Count: 179179 | Episode Q0:    -2.44
Episode: 180/1000 | Episode reward:   -11.34 | Episode steps: 1001 | Average reward:   -30.12 | Step Count: 180180 | Episode Q0:    -2.43
Episode: 181/1000 | Episode reward:    -9.46 | Episode steps: 1001 | Average reward:   -15.98 | Step Count: 181181 | Episode Q0:    -2.45
Episode: 182/1000 | Episode reward:    -7.85 | Episode steps: 1001 | Average reward:   -11.98 | Step Count: 182182 | Episode Q0:    -2.46
Episode: 183/1000 | Episode reward:    -5.87 | Episode steps: 1001 | Average reward:    -9.68 | Step Count: 183183 | Episode Q0:    -2.44
Episode: 184/1000 | Episode reward:    -5.05 | Episode steps: 1001 | Average reward:    -7.92 | Step Count: 184184 | Episode Q0:    -2.44
Episode: 185/1000 | Episode reward:    -5.36 | Episode steps: 1001 | Average reward:    -6.72 | Step Count: 185185 | Episode Q0:    -2.46
Episode: 186/1000 | Episode reward:   -12.68 | Episode steps: 1001 | Average reward:    -7.36 | Step Count: 186186 | Episode Q0:    -2.43
Episode: 187/1000 | Episode reward:   -39.98 | Episode steps: 1001 | Average reward:   -13.79 | Step Count: 187187 | Episode Q0:    -2.43
Episode: 188/1000 | Episode reward:   -55.50 | Episode steps: 1001 | Average reward:   -23.71 | Step Count: 188188 | Episode Q0:    -2.43
Episode: 189/1000 | Episode reward:   -19.88 | Episode steps: 1001 | Average reward:   -26.68 | Step Count: 189189 | Episode Q0:    -2.43
Episode: 190/1000 | Episode reward:   -16.65 | Episode steps: 1001 | Average reward:   -28.94 | Step Count: 190190 | Episode Q0:    -2.43
