
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Episode: 162/1000 | Episode reward:   -67.66 | Episode steps: 1001 | Average reward:   -70.17 | Step Count: 162162 | Episode Q0:    -4.91
Episode: 163/1000 | Episode reward:   -81.87 | Episode steps: 1001 | Average reward:   -70.04 | Step Count: 163163 | Episode Q0:    -4.93
Episode: 164/1000 | Episode reward:   -80.05 | Episode steps: 1001 | Average reward:   -70.69 | Step Count: 164164 | Episode Q0:    -4.96
Episode: 165/1000 | Episode reward:   -83.38 | Episode steps: 1001 | Average reward:   -75.31 | Step Count: 165165 | Episode Q0:    -4.96
Episode: 166/1000 | Episode reward:   -78.88 | Episode steps: 1001 | Average reward:   -78.37 | Step Count: 166166 | Episode Q0:    -4.97
Episode: 167/1000 | Episode reward:   -76.20 | Episode steps: 1001 | Average reward:   -80.08 | Step Count: 167167 | Episode Q0:    -4.97
Episode: 168/1000 | Episode reward:   -78.13 | Episode steps: 1001 | Average reward:   -79.33 | Step Count: 168168 | Episode Q0:    -4.99
Episode: 169/1000 | Episode reward:   -77.07 | Episode steps: 1001 | Average reward:   -78.73 | Step Count: 169169 | Episode Q0:    -4.99
Episode: 170/1000 | Episode reward:   -75.89 | Episode steps: 1001 | Average reward:   -77.23 | Step Count: 170170 | Episode Q0:    -5.00
Episode: 171/1000 | Episode reward:   -82.76 | Episode steps: 1001 | Average reward:   -78.01 | Step Count: 171171 | Episode Q0:    -5.02
Episode: 172/1000 | Episode reward:   -34.89 | Episode steps: 1001 | Average reward:   -69.75 | Step Count: 172172 | Episode Q0:    -5.01
Episode: 173/1000 | Episode reward:   -29.88 | Episode steps: 1001 | Average reward:   -60.10 | Step Count: 173173 | Episode Q0:    -5.02
Episode: 174/1000 | Episode reward:   -30.26 | Episode steps: 1001 | Average reward:   -50.73 | Step Count: 174174 | Episode Q0:    -5.05
Episode: 175/1000 | Episode reward:   -31.14 | Episode steps: 1001 | Average reward:   -41.79 | Step Count: 175175 | Episode Q0:    -5.06
Episode: 176/1000 | Episode reward:   -27.71 | Episode steps: 1001 | Average reward:   -30.78 | Step Count: 176176 | Episode Q0:    -5.07
Episode: 177/1000 | Episode reward:   -26.13 | Episode steps: 1001 | Average reward:   -29.02 | Step Count: 177177 | Episode Q0:    -5.09
Episode: 178/1000 | Episode reward:   -28.96 | Episode steps: 1001 | Average reward:   -28.84 | Step Count: 178178 | Episode Q0:    -5.15
Episode: 179/1000 | Episode reward:   -31.36 | Episode steps: 1001 | Average reward:   -29.06 | Step Count: 179179 | Episode Q0:    -5.11
Episode: 180/1000 | Episode reward:   -33.62 | Episode steps: 1001 | Average reward:   -29.56 | Step Count: 180180 | Episode Q0:    -5.06
Episode: 181/1000 | Episode reward:   -36.67 | Episode steps: 1001 | Average reward:   -31.35 | Step Count: 181181 | Episode Q0:    -5.13
Episode: 182/1000 | Episode reward:   -42.82 | Episode steps: 1001 | Average reward:   -34.68 | Step Count: 182182 | Episode Q0:    -5.12
Episode: 183/1000 | Episode reward:   -41.88 | Episode steps: 1001 | Average reward:   -37.27 | Step Count: 183183 | Episode Q0:    -5.09
Episode: 184/1000 | Episode reward:   -47.23 | Episode steps: 1001 | Average reward:   -40.44 | Step Count: 184184 | Episode Q0:    -5.07
Episode: 185/1000 | Episode reward:   -52.58 | Episode steps: 1001 | Average reward:   -44.23 | Step Count: 185185 | Episode Q0:    -5.09
Episode: 186/1000 | Episode reward:   -54.31 | Episode steps: 1001 | Average reward:   -47.76 | Step Count: 186186 | Episode Q0:    -5.07
Episode: 187/1000 | Episode reward:   -56.53 | Episode steps: 1001 | Average reward:   -50.51 | Step Count: 187187 | Episode Q0:    -5.07
Episode: 188/1000 | Episode reward:   -61.27 | Episode steps: 1001 | Average reward:   -54.38 | Step Count: 188188 | Episode Q0:    -5.08
Episode: 189/1000 | Episode reward:   -58.19 | Episode steps: 1001 | Average reward:   -56.58 | Step Count: 189189 | Episode Q0:    -5.07
Episode: 190/1000 | Episode reward:   -69.90 | Episode steps: 1001 | Average reward:   -60.04 | Step Count: 190190 | Episode Q0:    -5.08
Episode: 191/1000 | Episode reward:   -91.31 | Episode steps: 1001 | Average reward:   -67.44 | Step Count: 191191 | Episode Q0:    -5.09
