
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Episode: 106/1000 | Episode reward:   756.66 | Episode steps: 1001 | Average reward:   756.80 | Step Count: 106106 | Episode Q0:     1.42
Episode: 107/1000 | Episode reward:   756.73 | Episode steps: 1001 | Average reward:   756.71 | Step Count: 107107 | Episode Q0:     1.91
Episode: 108/1000 | Episode reward:   756.83 | Episode steps: 1001 | Average reward:   756.85 | Step Count: 108108 | Episode Q0:     1.40
Episode: 109/1000 | Episode reward:   756.59 | Episode steps: 1001 | Average reward:   756.70 | Step Count: 109109 | Episode Q0:     1.87
Episode: 110/1000 | Episode reward:   756.60 | Episode steps: 1001 | Average reward:   756.68 | Step Count: 110110 | Episode Q0:     1.75
Episode: 111/1000 | Episode reward:   756.35 | Episode steps: 1001 | Average reward:   756.62 | Step Count: 111111 | Episode Q0:     2.42
Episode: 112/1000 | Episode reward:   756.54 | Episode steps: 1001 | Average reward:   756.58 | Step Count: 112112 | Episode Q0:     2.87
Episode: 113/1000 | Episode reward:   756.91 | Episode steps: 1001 | Average reward:   756.60 | Step Count: 113113 | Episode Q0:     2.57
Episode: 114/1000 | Episode reward:   756.81 | Episode steps: 1001 | Average reward:   756.64 | Step Count: 114114 | Episode Q0:     3.11
Episode: 115/1000 | Episode reward:   756.78 | Episode steps: 1001 | Average reward:   756.68 | Step Count: 115115 | Episode Q0:     3.43
Episode: 116/1000 | Episode reward:   756.46 | Episode steps: 1001 | Average reward:   756.70 | Step Count: 116116 | Episode Q0:     3.31
Episode: 117/1000 | Episode reward:   756.80 | Episode steps: 1001 | Average reward:   756.75 | Step Count: 117117 | Episode Q0:     3.70
Episode: 118/1000 | Episode reward:   756.82 | Episode steps: 1001 | Average reward:   756.73 | Step Count: 118118 | Episode Q0:     3.33
Episode: 119/1000 | Episode reward:   756.86 | Episode steps: 1001 | Average reward:   756.74 | Step Count: 119119 | Episode Q0:     3.67
Episode: 120/1000 | Episode reward:   756.74 | Episode steps: 1001 | Average reward:   756.74 | Step Count: 120120 | Episode Q0:     3.84
Episode: 121/1000 | Episode reward:   757.00 | Episode steps: 1001 | Average reward:   756.84 | Step Count: 121121 | Episode Q0:     4.38
Episode: 122/1000 | Episode reward:   756.95 | Episode steps: 1001 | Average reward:   756.87 | Step Count: 122122 | Episode Q0:     4.53
Episode: 123/1000 | Episode reward:   756.38 | Episode steps: 1001 | Average reward:   756.79 | Step Count: 123123 | Episode Q0:     4.04
Episode: 124/1000 | Episode reward:   756.43 | Episode steps: 1001 | Average reward:   756.70 | Step Count: 124124 | Episode Q0:     4.31
Episode: 125/1000 | Episode reward:   757.23 | Episode steps: 1001 | Average reward:   756.80 | Step Count: 125125 | Episode Q0:     4.83
Episode: 126/1000 | Episode reward:   756.40 | Episode steps: 1001 | Average reward:   756.68 | Step Count: 126126 | Episode Q0:     5.14
Episode: 127/1000 | Episode reward:   757.07 | Episode steps: 1001 | Average reward:   756.70 | Step Count: 127127 | Episode Q0:     5.22
Episode: 128/1000 | Episode reward:   756.88 | Episode steps: 1001 | Average reward:   756.80 | Step Count: 128128 | Episode Q0:     5.39
Episode: 129/1000 | Episode reward:   756.03 | Episode steps: 1001 | Average reward:   756.72 | Step Count: 129129 | Episode Q0:     5.42
Episode: 130/1000 | Episode reward:   757.03 | Episode steps: 1001 | Average reward:   756.68 | Step Count: 130130 | Episode Q0:     5.97
Episode: 131/1000 | Episode reward:   757.10 | Episode steps: 1001 | Average reward:   756.82 | Step Count: 131131 | Episode Q0:     5.81
Episode: 132/1000 | Episode reward:   756.66 | Episode steps: 1001 | Average reward:   756.74 | Step Count: 132132 | Episode Q0:     6.37
Episode: 133/1000 | Episode reward:   755.84 | Episode steps: 1001 | Average reward:   756.53 | Step Count: 133133 | Episode Q0:     6.74
Episode: 134/1000 | Episode reward:   756.76 | Episode steps: 1001 | Average reward:   756.68 | Step Count: 134134 | Episode Q0:     6.71
Episode: 135/1000 | Episode reward:   755.66 | Episode steps: 1001 | Average reward:   756.41 | Step Count: 135135 | Episode Q0:     7.04
Episode: 136/1000 | Episode reward:   757.60 | Episode steps: 1001 | Average reward:   756.51 | Step Count: 136136 | Episode Q0:     7.40
Episode: 137/1000 | Episode reward:   756.42 | Episode steps: 1001 | Average reward:   756.46 | Step Count: 137137 | Episode Q0:     7.72
Episode: 138/1000 | Episode reward:   756.32 | Episode steps: 1001 | Average reward:   756.55 | Step Count: 138138 | Episode Q0:     7.92
Episode: 139/1000 | Episode reward:   756.71 | Episode steps: 1001 | Average reward:   756.54 | Step Count: 139139 | Episode Q0:     7.96
Episode: 140/1000 | Episode reward:   756.89 | Episode steps: 1001 | Average reward:   756.79 | Step Count: 140140 | Episode Q0:     8.47
Episode: 141/1000 | Episode reward:   756.69 | Episode steps: 1001 | Average reward:   756.60 | Step Count: 141141 | Episode Q0:     8.59
Episode: 142/1000 | Episode reward:   756.61 | Episode steps: 1001 | Average reward:   756.64 | Step Count: 142142 | Episode Q0:     8.93
Episode: 143/1000 | Episode reward:   756.59 | Episode steps: 1001 | Average reward:   756.70 | Step Count: 143143 | Episode Q0:     9.05
Episode: 144/1000 | Episode reward:   755.62 | Episode steps: 1001 | Average reward:   756.48 | Step Count: 144144 | Episode Q0:     9.38
Episode: 145/1000 | Episode reward:   757.29 | Episode steps: 1001 | Average reward:   756.56 | Step Count: 145145 | Episode Q0:     9.74
Episode: 146/1000 | Episode reward:   756.92 | Episode steps: 1001 | Average reward:   756.61 | Step Count: 146146 | Episode Q0:     9.89
Episode: 147/1000 | Episode reward:   756.12 | Episode steps: 1001 | Average reward:   756.51 | Step Count: 147147 | Episode Q0:    10.27
Episode: 148/1000 | Episode reward:   757.17 | Episode steps: 1001 | Average reward:   756.62 | Step Count: 148148 | Episode Q0:    10.43
Episode: 149/1000 | Episode reward:   757.10 | Episode steps: 1001 | Average reward:   756.92 | Step Count: 149149 | Episode Q0:    10.88
Episode: 150/1000 | Episode reward:   756.77 | Episode steps: 1001 | Average reward:   756.82 | Step Count: 150150 | Episode Q0:    11.07
Episode: 151/1000 | Episode reward:   756.61 | Episode steps: 1001 | Average reward:   756.75 | Step Count: 151151 | Episode Q0:    11.23
Episode: 152/1000 | Episode reward:   757.14 | Episode steps: 1001 | Average reward:   756.96 | Step Count: 152152 | Episode Q0:    11.80
