
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>>>>>>>>>>>>>>>>> >> >>>> >> >> >> >> >> >> >> >> >> >> >> >>>> >> >> >> >>>>>>>>>>>>>>>>>>>>>> >> >> >> >> >> >>>> >> >> >> >> >>>>>>>>>>>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Episode:   1/1000 | Episode reward: -1429.21 | Episode steps: 1001 | Average reward: -1429.21 | Step Count: 1001 | Episode Q0:    -0.95
Episode:  89/1000 | Episode reward:   -17.92 | Episode steps: 1001 | Average reward:   -16.09 | Step Count: 89089 | Episode Q0:    -3.09
Episode:  90/1000 | Episode reward:   -20.54 | Episode steps: 1001 | Average reward:   -17.51 | Step Count: 90090 | Episode Q0:    -3.08
Episode:  91/1000 | Episode reward:   -54.90 | Episode steps: 1001 | Average reward:   -25.33 | Step Count: 91091 | Episode Q0:    -3.13
Episode:  92/1000 | Episode reward:   -14.43 | Episode steps: 1001 | Average reward:   -24.97 | Step Count: 92092 | Episode Q0:    -3.13
Episode:  93/1000 | Episode reward:   -14.08 | Episode steps: 1001 | Average reward:   -24.37 | Step Count: 93093 | Episode Q0:    -3.08
Episode:  94/1000 | Episode reward:   -13.88 | Episode steps: 1001 | Average reward:   -23.57 | Step Count: 94094 | Episode Q0:    -3.13
Episode:  95/1000 | Episode reward:   -13.33 | Episode steps: 1001 | Average reward:   -22.12 | Step Count: 95095 | Episode Q0:    -3.13
Episode:  96/1000 | Episode reward:   -14.49 | Episode steps: 1001 | Average reward:   -14.04 | Step Count: 96096 | Episode Q0:    -3.17
Episode:  97/1000 | Episode reward:   -13.84 | Episode steps: 1001 | Average reward:   -13.92 | Step Count: 97097 | Episode Q0:    -3.17
Episode:  98/1000 | Episode reward:   -14.66 | Episode steps: 1001 | Average reward:   -14.04 | Step Count: 98098 | Episode Q0:    -3.13
Episode:  99/1000 | Episode reward:   -14.83 | Episode steps: 1001 | Average reward:   -14.23 | Step Count: 99099 | Episode Q0:    -3.17
Episode: 100/1000 | Episode reward:   -13.61 | Episode steps: 1001 | Average reward:   -14.29 | Step Count: 100100 | Episode Q0:    -3.18
Episode: 101/1000 | Episode reward:   -15.66 | Episode steps: 1001 | Average reward:   -14.52 | Step Count: 101101 | Episode Q0:    -3.10
Episode: 102/1000 | Episode reward:   -16.57 | Episode steps: 1001 | Average reward:   -15.06 | Step Count: 102102 | Episode Q0:    -3.12
Episode: 103/1000 | Episode reward:   -17.01 | Episode steps: 1001 | Average reward:   -15.53 | Step Count: 103103 | Episode Q0:    -3.12
Episode: 104/1000 | Episode reward:   -17.11 | Episode steps: 1001 | Average reward:   -15.99 | Step Count: 104104 | Episode Q0:    -3.11
Episode: 105/1000 | Episode reward:   -18.81 | Episode steps: 1001 | Average reward:   -17.03 | Step Count: 105105 | Episode Q0:    -3.12
Episode: 106/1000 | Episode reward:   -59.46 | Episode steps: 1001 | Average reward:   -25.79 | Step Count: 106106 | Episode Q0:    -3.16
Episode: 107/1000 | Episode reward:   -14.38 | Episode steps: 1001 | Average reward:   -25.35 | Step Count: 107107 | Episode Q0:    -3.16
Episode: 108/1000 | Episode reward:   -13.38 | Episode steps: 1001 | Average reward:   -24.63 | Step Count: 108108 | Episode Q0:    -3.17
Episode: 109/1000 | Episode reward:   -12.37 | Episode steps: 1001 | Average reward:   -23.68 | Step Count: 109109 | Episode Q0:    -3.19
Episode: 110/1000 | Episode reward:   -12.90 | Episode steps: 1001 | Average reward:   -22.50 | Step Count: 110110 | Episode Q0:    -3.20
Episode: 111/1000 | Episode reward:   -13.71 | Episode steps: 1001 | Average reward:   -13.35 | Step Count: 111111 | Episode Q0:    -3.20
Episode: 112/1000 | Episode reward:   -12.76 | Episode steps: 1001 | Average reward:   -13.02 | Step Count: 112112 | Episode Q0:    -3.19
Episode: 113/1000 | Episode reward:   -14.04 | Episode steps: 1001 | Average reward:   -13.16 | Step Count: 113113 | Episode Q0:    -3.20
Episode: 114/1000 | Episode reward:   -13.58 | Episode steps: 1001 | Average reward:   -13.40 | Step Count: 114114 | Episode Q0:    -3.19
Episode: 115/1000 | Episode reward:   -13.85 | Episode steps: 1001 | Average reward:   -13.59 | Step Count: 115115 | Episode Q0:    -3.22
Episode: 116/1000 | Episode reward:   -13.47 | Episode steps: 1001 | Average reward:   -13.54 | Step Count: 116116 | Episode Q0:    -3.16
Episode: 117/1000 | Episode reward:   -14.54 | Episode steps: 1001 | Average reward:   -13.90 | Step Count: 117117 | Episode Q0:    -3.20
Episode: 118/1000 | Episode reward:   -16.22 | Episode steps: 1001 | Average reward:   -14.33 | Step Count: 118118 | Episode Q0:    -3.17
Episode: 119/1000 | Episode reward:   -14.80 | Episode steps: 1001 | Average reward:   -14.58 | Step Count: 119119 | Episode Q0:    -3.18
Episode: 120/1000 | Episode reward:   -15.41 | Episode steps: 1001 | Average reward:   -14.89 | Step Count: 120120 | Episode Q0:    -3.17
Episode: 121/1000 | Episode reward:   -17.21 | Episode steps: 1001 | Average reward:   -15.64 | Step Count: 121121 | Episode Q0:    -3.14
Episode: 122/1000 | Episode reward:   -53.37 | Episode steps: 1001 | Average reward:   -23.40 | Step Count: 122122 | Episode Q0:    -3.17
Episode: 123/1000 | Episode reward:   -14.48 | Episode steps: 1001 | Average reward:   -23.06 | Step Count: 123123 | Episode Q0:    -3.16
Episode: 124/1000 | Episode reward:   -14.19 | Episode steps: 1001 | Average reward:   -22.93 | Step Count: 124124 | Episode Q0:    -3.15
Episode: 125/1000 | Episode reward:   -13.59 | Episode steps: 1001 | Average reward:   -22.57 | Step Count: 125125 | Episode Q0:    -3.18
Episode: 126/1000 | Episode reward:   -13.93 | Episode steps: 1001 | Average reward:   -21.91 | Step Count: 126126 | Episode Q0:    -3.15
Episode: 127/1000 | Episode reward:   -13.90 | Episode steps: 1001 | Average reward:   -14.02 | Step Count: 127127 | Episode Q0:    -3.20
Episode: 128/1000 | Episode reward:   -14.72 | Episode steps: 1001 | Average reward:   -14.07 | Step Count: 128128 | Episode Q0:    -3.18
Episode: 129/1000 | Episode reward:   -13.11 | Episode steps: 1001 | Average reward:   -13.85 | Step Count: 129129 | Episode Q0:    -3.18
Episode: 130/1000 | Episode reward:   -12.70 | Episode steps: 1001 | Average reward:   -13.67 | Step Count: 130130 | Episode Q0:    -3.18
Episode: 131/1000 | Episode reward:   -14.49 | Episode steps: 1001 | Average reward:   -13.78 | Step Count: 131131 | Episode Q0:    -3.18
Episode: 132/1000 | Episode reward:   -15.66 | Episode steps: 1001 | Average reward:   -14.14 | Step Count: 132132 | Episode Q0:    -3.20
Episode: 133/1000 | Episode reward:   -15.58 | Episode steps: 1001 | Average reward:   -14.31 | Step Count: 133133 | Episode Q0:    -3.21
Episode: 134/1000 | Episode reward:   -16.02 | Episode steps: 1001 | Average reward:   -14.89 | Step Count: 134134 | Episode Q0:    -3.18
Episode: 135/1000 | Episode reward:   -16.62 | Episode steps: 1001 | Average reward:   -15.67 | Step Count: 135135 | Episode Q0:    -3.17
Episode: 136/1000 | Episode reward:   -31.25 | Episode steps: 1001 | Average reward:   -19.03 | Step Count: 136136 | Episode Q0:    -3.17
Episode: 137/1000 | Episode reward:   -40.87 | Episode steps: 1001 | Average reward:   -24.07 | Step Count: 137137 | Episode Q0:    -3.15
Episode: 138/1000 | Episode reward:   -13.82 | Episode steps: 1001 | Average reward:   -23.72 | Step Count: 138138 | Episode Q0:    -3.16
Episode: 139/1000 | Episode reward:   -13.39 | Episode steps: 1001 | Average reward:   -23.19 | Step Count: 139139 | Episode Q0:    -3.18
Episode: 140/1000 | Episode reward:   -13.13 | Episode steps: 1001 | Average reward:   -22.49 | Step Count: 140140 | Episode Q0:    -3.15
Episode: 141/1000 | Episode reward:   -13.67 | Episode steps: 1001 | Average reward:   -18.98 | Step Count: 141141 | Episode Q0:    -3.16
Episode: 142/1000 | Episode reward:   -12.18 | Episode steps: 1001 | Average reward:   -13.24 | Step Count: 142142 | Episode Q0:    -3.18
Episode: 143/1000 | Episode reward:   -13.27 | Episode steps: 1001 | Average reward:   -13.13 | Step Count: 143143 | Episode Q0:    -3.20
Episode: 144/1000 | Episode reward:   -14.85 | Episode steps: 1001 | Average reward:   -13.42 | Step Count: 144144 | Episode Q0:    -3.21
Episode: 145/1000 | Episode reward:   -14.21 | Episode steps: 1001 | Average reward:   -13.63 | Step Count: 145145 | Episode Q0:    -3.20
Episode: 146/1000 | Episode reward:   -13.57 | Episode steps: 1001 | Average reward:   -13.61 | Step Count: 146146 | Episode Q0:    -3.21
Episode: 147/1000 | Episode reward:   -13.46 | Episode steps: 1001 | Average reward:   -13.87 | Step Count: 147147 | Episode Q0:    -3.22
Episode: 148/1000 | Episode reward:   -15.80 | Episode steps: 1001 | Average reward:   -14.38 | Step Count: 148148 | Episode Q0:    -3.19
Episode: 149/1000 | Episode reward:   -14.91 | Episode steps: 1001 | Average reward:   -14.39 | Step Count: 149149 | Episode Q0:    -3.22
Episode: 150/1000 | Episode reward:   -16.09 | Episode steps: 1001 | Average reward:   -14.77 | Step Count: 150150 | Episode Q0:    -3.20
Episode: 151/1000 | Episode reward:   -50.79 | Episode steps: 1001 | Average reward:   -22.21 | Step Count: 151151 | Episode Q0:    -3.18
